geo,period,tx_existing_wales,tx_existing_england,tx_newbuild_wales,tx_newbuild_england,tx_total,mb_bs_gbp_m,mb_banks_gbp_m,mb_bs_plus_banks_gbp_m,mb_bs_plus_banks_spliced_gbp_m,mb_specialist_gbp_m,mb_other_gbp_m,mb_total_gbp_m,avg_house_price_gbp,months_with_tx,tx_newbuild_total,newbuild_share_of_transactions,all_dwellings_n,turnover_pct_q,gP_yoy,gTO_yoy,volP_8q,volTO_8q,gMB_yoy,W,volW_8q,calm,p,dNB_yoy,is_baseline,zW,zTO,zNB,fair_wedge_contrib,fair_turn_contrib,fair_nb_contrib,FAIR,dFAIR
EW,2008Q4,5303.0,98741.0,941.0,17907.0,122892.0,208345.0,551811.0,,760156.0,421024.0,4784.0,760156.0,168974.0,3,18848.0,0.1533704390847248,22511000.0,0.0054591977255563,-0.0683156524999448,-0.5821283998832354,0.0788926132986899,0.2480693353018375,0.0305237674080001,-0.0988394199079449,0.0555182421757773,False,2008Q4,0.7920523411465863,False,-2.7245400542177687,-3.4123398980941335,5.070212273880505,-149.8497029819773,119.43189643329465,50.702122738805045,20.28431619012241,23.369608462060455
EW,2009Q1,3672.0,76136.0,802.0,11163.0,91773.0,206065.0,558553.0,,764618.0,414749.0,5366.0,764618.0,156512.0,3,11965.0,0.1303760365249038,22694000.0,0.0040439323169119,-0.0737509912767644,-0.4953491341663261,0.0769329216044662,0.2170538066579938,0.0236503323155854,-0.0974013235923498,0.0526051859081128,False,2009Q1,0.5201520571814602,False,-2.6870733263073623,-2.9242075807808017,3.2846439946512636,-147.78903294690494,102.34726532732805,32.84643994651264,-12.595327673064254,-32.879643863186665
EW,2009Q2,5740.0,115378.0,1029.0,16765.0,138912.0,204751.0,655477.0,,860228.0,319552.0,5587.0,860228.0,156512.0,3,17794.0,0.1280954849113107,22694000.0,0.0061210892746981,-0.0737509912767644,-0.2743443926212098,0.0691431460093315,0.1773642220975675,0.0119292390233345,-0.0856802303000989,0.0475148253822371,False,2009Q2,-0.018539351657621994,False,-2.3817036452707145,-1.6810585896430401,-0.25294073269585887,-130.9937004898893,58.83705063750641,-2.529407326958589,-74.68605717934149,-62.090729506277235
EW,2009Q3,7315.0,157215.0,833.0,15223.0,180586.0,191450.0,674889.0,,866339.0,316930.0,5817.0,866339.0,156512.0,3,16056.0,0.0889105467754975,22694000.0,0.0079574336829117,-0.0737509912767644,0.2353948994884573,0.053012687853975,0.2520947692942742,0.0050901925365467,-0.0788411838133111,0.0401838866932059,False,2009Q3,-0.21710988878644577,False,-2.2035259452735723,1.186218747029162,-1.5569528032835307,-121.19392699004648,-41.51765614602067,-15.569528032835308,-178.28111116890244,-103.59505398956095
EW,2009Q4,8241.0,177479.0,925.0,19454.0,206099.0,189712.0,690598.0,,880310.0,305336.0,6838.0,880310.0,156512.0,3,20379.0,0.0988796646271937,22694000.0,0.0090816515378514,-0.0737509912767644,0.6635505791148035,0.0027176693884095,0.4183801287463812,0.0045410858069563,-0.0782920770837207,0.026668454045072,False,2009Q4,-0.35528863829769264,False,-2.189220065891061,3.5945892528209495,-2.464372201280521,-120.40710362400837,-125.81062384873323,-24.643722012805213,-270.8614494855468,-92.58033831664437
EW,2010Q1,5216.0,112420.0,563.0,11847.0,130046.0,202581.0,821489.0,,1024070.0,162763.0,6845.0,1024070.0,165483.0,3,12410.0,0.0954277717115482,22839000.0,0.0056940321380095,0.0573182886935186,0.4080433824762128,0.0426509820077721,0.4625740886337022,0.0076945555633367,0.0496237331301818,0.05340167152211,False,2010Q1,-0.26805742638663466,False,1.1433709467910371,2.1573643701825853,-1.891525116769618,62.885402073507045,-75.50775295639049,-18.91525116769618,-31.537602050579626,239.32384743496718
EW,2010Q2,7213.0,143065.0,896.0,16417.0,167591.0,200488.0,826939.0,,1027427.0,159967.0,6685.0,1027427.0,165483.0,3,17313.0,0.1033050700813289,22839000.0,0.0073379307325189,0.0573182886935186,0.1987949208404278,0.0560141083226455,0.4583148788973997,0.0076329067970946,0.049685381896424,0.0631343443307538,False,2010Q2,-0.19353074659224645,False,1.1449770822951484,0.9803443109701819,-1.4021086532906675,62.97373952623316,-34.31205088395636,-14.021086532906676,14.640602109370125,46.17820415994975
EW,2010Q3,7575.0,165335.0,646.0,13398.0,186954.0,199815.0,804470.0,,1004285.0,186075.0,6778.0,1004285.0,165483.0,3,14044.0,0.0751200830150732,22839000.0,0.0081857349270983,0.0573182886935186,0.0286903106307838,0.0629508373396733,0.4119907377489679,0.0069643405892578,0.0503539481042607,0.0670272315087296,False,2010Q3,-0.15510492579970014,False,1.162395239846539,0.02350794134490758,-1.1497664132975742,63.93173819155965,-0.8227779470717652,-11.497664132975743,51.61129611151215,36.970694002142025
EW,2010Q4,7525.0,148905.0,839.0,15115.0,172384.0,198754.0,808102.0,,1006856.0,184627.0,6854.0,1006856.0,165483.0,3,15954.0,0.092549192500464,22839000.0,0.0075477910591532,0.0573182886935186,-0.1688966453188857,0.0655346399851415,0.3548466337128871,0.0057955148703507,0.0515227738231678,0.0678959107681843,False,2010Q4,-0.06402198218003163,False,1.1928466600400855,-1.0879162897984302,-0.5516250192011817,65.60656630220471,38.07707014294506,-5.516250192011817,98.16738625313795,46.5560901416258
EW,2011Q1,5270.0,108279.0,533.0,10186.0,124268.0,197095.0,810057.0,,1007152.0,182935.0,7410.0,1007152.0,165131.0,3,10719.0,0.0862571217047027,22976000.0,0.0054086002785515,-0.0021271067118676,-0.0501282487593721,0.0606829409311279,0.2901224844781049,0.0032264736066924,-0.0053535803185601,0.0607872397296963,False,2011Q1,-0.09610043116762534,False,-0.28895317635141265,-0.41984549941736493,-0.76228408922432,-15.892424699327698,14.69459247960777,-7.6228408922432,-8.820673111963128,-106.98805936510108
