geo,period,tx_existing_wales,tx_existing_england,tx_newbuild_wales,tx_newbuild_england,tx_total,mb_bs_gbp_m,mb_banks_gbp_m,mb_bs_plus_banks_gbp_m,mb_bs_plus_banks_spliced_gbp_m,mb_specialist_gbp_m,mb_other_gbp_m,mb_total_gbp_m,avg_house_price_gbp,months_with_tx,tx_newbuild_total,newbuild_share_of_transactions,all_dwellings_n,turnover_pct_q,price_yoy,mb_yoy,tx_yoy,turnover_pct_q_lag1q,turnover_pct_q_lag2q,turnover_pct_q_lag4q,turnover_pct_q_lag8q,newbuild_share_of_transactions_lag1q,newbuild_share_of_transactions_lag2q,newbuild_share_of_transactions_lag4q,newbuild_share_of_transactions_lag8q,tx_total_lag1q,tx_total_lag2q,tx_total_lag4q,tx_total_lag8q,avg_house_price_gbp_lag1q,avg_house_price_gbp_lag2q,avg_house_price_gbp_lag4q,avg_house_price_gbp_lag8q,mb_total_gbp_m_lag1q,mb_total_gbp_m_lag2q,mb_total_gbp_m_lag4q,mb_total_gbp_m_lag8q,price_yoy_lag1q,price_yoy_lag2q,price_yoy_lag4q,price_yoy_lag8q,mb_yoy_lag1q,mb_yoy_lag2q,mb_yoy_lag4q,mb_yoy_lag8q,tx_yoy_lag1q,tx_yoy_lag2q,tx_yoy_lag4q,tx_yoy_lag8q,y_turnover_change_8q,y_price_change_8q,y_price_pct_8q,y_mb_pct_8q,y_turnover_change_12q,y_price_change_12q,y_price_pct_12q,y_mb_pct_12q
EW,2013Q2,7571.0,155143.0,943.0,20183.0,183840.0,0.209022,0.828528,,1.03755,0.175352,0.014135,1.03755,168928.0,3,21126.0,0.11491514360313317,23236000.0,0.007911860905491478,0.03239054440560296,0.007881985864104157,0.1754926659590521,0.006165002582200034,0.007792220154904591,0.006767080610964476,0.006874347144846796,0.0917347294938918,0.10391146452250591,0.11600189265572848,0.10536579188958181,143250.0,180086.0,156394.0,157945.0,168928.0,163628.0,163628.0,165131.0,1.035158,1.035891,1.029436,1.00962,0.03239054440560296,-0.009101864580242314,-0.009101864580242314,-0.0021271067118676656,0.015424245218425225,0.02029879383264932,0.019627186466195212,-0.01733164497331674,-0.0485963059634581,-0.01367056993570015,-0.009819874006774532,-0.057556790042424755,0.001741199452151983,24972.0,0.1478262928584959,0.04603729940725754,0.00037984262967053276,34843.0,0.20625947149081258,0.09524553033588745
EW,2013Q3,9386.0,196854.0,693.0,17082.0,224015.0,0.213226,0.82876,,1.041986,0.174018,0.015278,1.041986,168928.0,3,17775.0,0.07934736513179921,23236000.0,0.00964085901187812,0.03239054440560296,0.007959309625657163,0.2594381258116929,0.007911860905491478,0.006165002582200034,0.007696291809095236,0.008305057451253482,0.11491514360313317,0.0917347294938918,0.0803400255244028,0.0750037994518308,183840.0,143250.0,177869.0,190817.0,168928.0,168928.0,163628.0,165131.0,1.03755,1.035158,1.033758,1.013925,0.03239054440560296,0.03239054440560296,-0.009101864580242314,-0.0021271067118676656,0.007881985864104157,0.015424245218425225,0.01956061838893408,0.009598868846990571,0.1754926659590521,-0.0485963059634581,-0.0678555893866899,0.020662836847566757,0.0015777622343521817,24972.0,0.1478262928584959,0.05312739326632032,0.0007211264092654348,34843.0,0.20625947149081258,0.10233150925252343
EW,2013Q4,10493.0,210645.0,1096.0,23340.0,245574.0,0.215689,0.833077,1.049851,1.049851,0.171194,0.015682,1.049851,168928.0,3,24436.0,0.09950564799205128,23236000.0,0.01056868652091582,0.03239054440560296,0.013476321350412546,0.36364847906000475,0.00964085901187812,0.007911860905491478,0.007792220154904591,0.007946639972144847,0.07934736513179921,0.11491514360313317,0.10391146452250591,0.0989911382283029,224015.0,183840.0,180086.0,182582.0,168928.0,168928.0,163628.0,165131.0,1.041986,1.03755,1.035891,1.015282,0.03239054440560296,0.03239054440560296,-0.009101864580242314,-0.0021271067118676656,0.007959309625657163,0.007881985864104157,0.02029879383264932,0.008368624708995132,0.2594381258116929,0.1754926659590521,-0.01367056993570015,0.059158622609986944,0.0004771445116628654,24972.0,0.1478262928584959,0.058733096410823915,-0.0005763130325241294,34843.0,0.20625947149081258,0.102094487693968
EW,2014Q1,8465.0,178996.0,624.0,16366.0,204451.0,,,1.055353,1.055353,0.169634,0.015919,1.055353,185620.0,3,16990.0,0.08310059623088173,23372000.0,0.008747689543042957,0.09881132790301184,0.019509099094051408,0.4272321116928446,0.01056868652091582,0.00964085901187812,0.006165002582200034,0.006514949591103803,0.09950564799205128,0.07934736513179921,0.0917347294938918,0.09277597348688624,245574.0,224015.0,143250.0,150567.0,168928.0,168928.0,168928.0,163628.0,1.049851,1.041986,1.035158,1.019434,0.03239054440560296,0.03239054440560296,0.03239054440560296,-0.009101864580242314,0.013476321350412546,0.007959309625657163,0.015424245218425225,0.012194782912609003,0.36364847906000475,0.2594381258116929,-0.0485963059634581,0.21163131296874504,0.0020459311538769433,18151.0,0.09778579894407935,0.06406482001756775,-0.0002827208582830403,24315.0,0.13099342743238873,0.10486443872334661
EW,2014Q2,9986.0,200685.0,1071.0,24468.0,236210.0,,,1.061979,1.061979,0.168446,0.016794,1.061979,185620.0,3,25539.0,0.1081198933152703,23372000.0,0.010106537737463632,0.09881132790301184,0.023544889402920433,0.28486727589208005,0.008747689543042957,0.01056868652091582,0.007911860905491478,0.006767080610964476,0.08310059623088173,0.09950564799205128,0.11491514360313317,0.11600189265572848,204451.0,245574.0,183840.0,156394.0,185620.0,168928.0,168928.0,163628.0,1.055353,1.049851,1.03755,1.029436,0.09881132790301184,0.03239054440560296,0.03239054440560296,-0.009101864580242314,0.019509099094051408,0.013476321350412546,0.007881985864104157,0.019627186466195212,0.4272321116928446,0.36364847906000475,0.1754926659590521,-0.009819874006774532,-0.0018148342023016212,18151.0,0.09778579894407935,0.07005129103306174,-0.0005894187395513156,24315.0,0.13099342743238873,0.109339261887476
EW,2014Q3,10990.0,227771.0,899.0,19256.0,258916.0,,,1.069752,1.069752,0.16691,0.016845,1.069752,185620.0,3,20155.0,0.07784377944970569,23372000.0,0.011078042101660105,0.09881132790301184,0.026647191037115547,0.1557976028390955,0.010106537737463632,0.008747689543042957,0.00964085901187812,0.007696291809095236,0.1081198933152703,0.08310059623088173,0.07934736513179921,0.0803400255244028,236210.0,204451.0,224015.0,177869.0,185620.0,185620.0,168928.0,163628.0,1.061979,1.055353,1.041986,1.033758,0.09881132790301184,0.09881132790301184,0.03239054440560296,-0.009101864580242314,0.023544889402920433,0.019509099094051408,0.007959309625657163,0.01956061838893408,0.28486727589208005,0.4272321116928446,0.2594381258116929,-0.0678555893866899,-0.0007160566805165507,18151.0,0.09778579894407935,0.07371989021754577,-0.0006027185108459093,24315.0,0.13099342743238873,0.11838351318810347
EW,2014Q4,10367.0,209830.0,1211.0,23842.0,245250.0,,,1.075866,1.075866,0.111019,0.069062,1.075866,185620.0,3,25053.0,0.10215290519877676,23372000.0,0.010493325346568544,0.09881132790301184,0.024779706834588744,-0.0013193579124826105,0.011078042101660105,0.010106537737463632,0.01056868652091582,0.007792220154904591,0.07784377944970569,0.1081198933152703,0.09950564799205128,0.10391146452250591,258916.0,236210.0,245574.0,180086.0,185620.0,185620.0,168928.0,163628.0,1.069752,1.061979,1.049851,1.035891,0.09881132790301184,0.09881132790301184,0.03239054440560296,-0.009101864580242314,0.026647191037115547,0.023544889402920433,0.013476321350412546,0.02029879383264932,0.1557976028390955,0.28486727589208005,0.36364847906000475,-0.01367056993570015,-0.0005009518581768537,18151.0,0.09778579894407935,0.07544526920638828,-0.0003070622985518433,24315.0,0.13099342743238873,0.12121862759860424
EW,2015Q1,7985.0,162568.0,769.0,16744.0,188066.0,,,1.078303,1.078303,0.113999,0.068438,1.078303,193900.0,3,17513.0,0.0931215637063584,23543000.0,0.007988191819224399,0.044607262148475435,0.021746278259501928,-0.0801414519860505,0.010493325346568544,0.011078042101660105,0.008747689543042957,0.006165002582200034,0.10215290519877676,0.07784377944970569,0.08310059623088173,0.0917347294938918,245250.0,258916.0,204451.0,143250.0,185620.0,185620.0,185620.0,168928.0,1.075866,1.069752,1.055353,1.035158,0.09881132790301184,0.09881132790301184,0.09881132790301184,0.03239054440560296,0.024779706834588744,0.026647191037115547,0.019509099094051408,0.015424245218425225,-0.0013193579124826105,0.1557976028390955,0.4272321116928446,-0.0485963059634581,0.0004767768655355182,16035.0,0.08269726663228472,0.08134911986705018,4.018812451215582e-05,20263.0,0.10450232078390931,0.12590524184760676
EW,2015Q2,9475.0,188526.0,1307.0,27954.0,227262.0,,,1.085316,1.085316,0.11424,0.068172,1.085316,193900.0,3,29261.0,0.12875447721132438,23543000.0,0.009653060357643461,0.044607262148475435,0.02197501080529829,-0.03788154608187633,0.007988191819224399,0.010493325346568544,0.010106537737463632,0.007911860905491478,0.0931215637063584,0.10215290519877676,0.1081198933152703,0.11491514360313317,188066.0,245250.0,236210.0,183840.0,193900.0,185620.0,185620.0,168928.0,1.078303,1.075866,1.061979,1.03755,0.044607262148475435,0.09881132790301184,0.09881132790301184,0.03239054440560296,0.021746278259501928,0.024779706834588744,0.023544889402920433,0.007881985864104157,-0.0801414519860505,-0.0013193579124826105,0.28486727589208005,0.1754926659590521,-0.0001359413597311447,16035.0,0.08269726663228472,0.0854857018601034,-0.0006718010493528773,20263.0,0.10450232078390931,0.12704779068953198
EW,2015Q3,11210.0,229641.0,978.0,22291.0,264120.0,,,1.097344,1.097344,0.112413,0.067585,1.097344,193900.0,3,23269.0,0.08810010601241859,23543000.0,0.011218621246230302,0.044607262148475435,0.02579289405394891,0.020099182746527777,0.009653060357643461,0.007988191819224399,0.011078042101660105,0.00964085901187812,0.12875447721132438,0.0931215637063584,0.07784377944970569,0.07934736513179921,227262.0,188066.0,258916.0,224015.0,193900.0,193900.0,185620.0,168928.0,1.085316,1.078303,1.069752,1.041986,0.044607262148475435,0.044607262148475435,0.09881132790301184,0.03239054440560296,0.02197501080529829,0.021746278259501928,0.026647191037115547,0.007959309625657163,-0.03788154608187633,-0.0801414519860505,0.1557976028390955,0.2594381258116929,-0.0007432976554161055,16035.0,0.08269726663228472,0.09026248833547168,-0.0012810074782342723,20263.0,0.10450232078390931,0.12506470167969197
