"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Sales volume Cash purchases","Pivotable date"
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-08,,quarterly,,1975-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-08,,quarterly,,1975-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-09,,quarterly,,1975-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-09,,quarterly,,1975-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-10,,quarterly,,1975-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-10,,quarterly,,1975-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-11,,quarterly,,1975-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-11,,quarterly,,1975-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-12,,quarterly,,1975-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-12,,quarterly,,1975-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-01,,quarterly,,1976-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-01,,quarterly,,1976-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-02,,quarterly,,1976-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-02,,quarterly,,1976-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-03,,quarterly,,1976-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-03,,quarterly,,1976-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-04,,quarterly,,1976-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-04,,quarterly,,1976-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-05,,quarterly,,1976-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-05,,quarterly,,1976-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-06,,quarterly,,1976-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-06,,quarterly,,1976-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-07,,quarterly,,1976-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-07,,quarterly,,1976-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-08,,quarterly,,1976-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-08,,quarterly,,1976-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-09,,quarterly,,1976-09-01
