geo,period,tx_existing_wales,tx_existing_england,tx_newbuild_wales,tx_newbuild_england,tx_total,mb_bs_gbp_m,mb_banks_gbp_m,mb_bs_plus_banks_gbp_m,mb_bs_plus_banks_spliced_gbp_m,mb_specialist_gbp_m,mb_other_gbp_m,mb_total_gbp_m,avg_house_price_gbp,months_with_tx,tx_newbuild_total,newbuild_share_of_transactions,all_dwellings_n,turnover_pct_q
EW,2019Q4,11645.0,190706.0,1232.0,31157.0,234740.0,,,1.29135,1.29135,0.108632,0.054057,1.29135,215333.0,3,32389.0,0.1379781886342336,24414000.0,0.009614975014336037
EW,2020Q1,9085.0,151684.0,594.0,19113.0,180476.0,,,1.300061,1.300061,0.109772,0.055621,1.300061,223050.0,3,19707.0,0.10919457434783572,24657000.0,0.007319463032810156
EW,2020Q2,4697.0,91098.0,273.0,10037.0,106105.0,,,1.30127,1.30127,0.110267,0.056435,1.30127,223050.0,3,10310.0,0.09716789972197351,24657000.0,0.004303240459098836
EW,2020Q3,7379.0,156351.0,396.0,17513.0,181639.0,,,1.312402,1.312402,0.111007,0.057444,1.312402,223050.0,3,17909.0,0.09859666701534361,24657000.0,0.0073666301658758164
EW,2020Q4,12835.0,220683.0,530.0,19676.0,253724.0,,,1.330358,1.330358,0.111837,0.058951,1.330358,223050.0,3,20206.0,0.07963771657391497,24657000.0,0.010290140730826946
EW,2021Q1,11680.0,248990.0,332.0,14160.0,275162.0,,,1.349227,1.349227,0.113622,0.056606,1.349227,240629.0,3,14492.0,0.05266715607533017,24873000.0,0.011062678406304025
EW,2021Q2,13496.0,267922.0,486.0,14410.0,296314.0,,,1.371858,1.371858,0.115589,0.057199,1.371858,240629.0,3,14896.0,0.0502709963079706,24873000.0,0.011913078438467414
EW,2021Q3,11306.0,212325.0,313.0,11271.0,235215.0,,,1.383688,1.383688,0.113036,0.058305,1.383688,240629.0,3,11584.0,0.04924855982824225,24873000.0,0.009456639729827524
EW,2021Q4,12015.0,159620.0,391.0,11046.0,183072.0,,,1.392986,1.392986,0.113885,0.058897,1.392986,240629.0,3,11437.0,0.06247268834119909,24873000.0,0.007360270172476179
EW,2022Q1,9785.0,173323.0,185.0,7675.0,190968.0,,,1.406918,1.406918,0.115836,0.059886,1.406918,278000.0,3,7860.0,0.04115872816388086,25160000.0,0.007590143084260731
EW,2022Q2,9444.0,169462.0,189.0,6839.0,185934.0,,,1.421751,1.421751,0.11664,0.060768,1.421751,278000.0,3,7028.0,0.03779835855733755,25160000.0,0.007390063593004769
EW,2022Q3,10290.0,186466.0,57.0,3212.0,200025.0,,,1.439455,1.439455,0.118105,0.06165,1.439455,278000.0,3,3269.0,0.016342957130358705,25160000.0,0.007950119236883943
EW,2022Q4,10223.0,153385.0,581.0,13336.0,177525.0,,,1.450864,1.450864,0.117559,0.060114,1.450864,278000.0,3,13917.0,0.07839459231094212,25160000.0,0.007055842607313196
EW,2023Q1,7646.0,135177.0,297.0,7819.0,150939.0,,,1.45376,1.45376,0.113352,0.052245,1.45376,302000.0,3,8116.0,0.0537700660531738,25312000.0,0.005963140012642225
EW,2023Q2,7291.0,124045.0,427.0,10851.0,142614.0,,,1.452768,1.452768,0.112834,0.052584,1.452768,302000.0,3,11278.0,0.07908059517298442,25312000.0,0.005634244627054362
EW,2023Q3,8611.0,153221.0,215.0,4934.0,166981.0,,,1.455904,1.455904,0.111893,0.052675,1.455904,302000.0,3,5149.0,0.03083584359897234,25312000.0,0.006596910556257902
EW,2023Q4,7866.0,133744.0,118.0,2622.0,144350.0,,,1.454731,1.454731,0.111158,0.053126,1.454731,302000.0,3,2740.0,0.01898164184274333,25312000.0,0.0057028286978508215
EW,2024Q1,7179.0,131454.0,311.0,11686.0,150630.0,,,1.454158,1.454158,0.111877,0.055577,1.454158,306000.0,3,11997.0,0.07964548894642501,25312000.0,0.005950932364096081
EW,2024Q2,8259.0,148661.0,677.0,17252.0,174849.0,,,1.4587,1.4587,0.113478,0.055817,1.4587,306000.0,3,17929.0,0.10253990586162917,25312000.0,0.006907751264222503
EW,2024Q3,10168.0,184202.0,420.0,14115.0,208905.0,,,1.468711,1.468711,0.113366,0.05603,1.468711,306000.0,3,14535.0,0.06957708049113233,25312000.0,0.008253200063211124
EW,2024Q4,10690.0,190755.0,662.0,18888.0,220995.0,,,1.473893,1.473893,0.115093,0.055856,1.473893,306000.0,3,19550.0,0.08846353989909274,25312000.0,0.008730839127686473
EW,2025Q1,8935.0,209114.0,307.0,14345.0,232701.0,,,1.490847,1.490847,0.114026,0.056963,1.490847,270000.0,3,14652.0,0.06296492064924517,25312000.0,0.009193307522123894
EW,2025Q2,8141.0,110814.0,289.0,6630.0,125874.0,,,1.504233,1.504233,0.111948,0.057076,1.504233,270000.0,3,6919.0,0.05496766607877719,25312000.0,0.004972898230088496
EW,2025Q3,8578.0,152498.0,6.0,941.0,162023.0,,,1.519277,1.519277,0.112239,0.057199,1.519277,270000.0,3,947.0,0.005844849188078236,25312000.0,0.006401035082174463
EW,2025Q4,,,,,,,,1.521701,1.521701,0.112285,0.05724,1.521701,270000.0,1,,,25312000.0,
