Name,quarter,new_build,existing,cash,mortgage,total_transactions,cash_share,cash_share_pct,total_stockmix_check
England,2005-09-30,10585.0,85606.0,,,,,,96191.0
Wales,2005-09-30,471.0,4063.0,,,,,,4534.0
England,2005-12-31,16356.0,85933.0,,,,,,102289.0
Wales,2005-12-31,661.0,4043.0,,,,,,4704.0
England,2006-03-31,11840.0,87556.0,,,,,,99396.0
Wales,2006-03-31,517.0,4146.0,,,,,,4663.0
England,2006-06-30,16940.0,103739.0,,,,,,120679.0
Wales,2006-06-30,769.0,4986.0,,,,,,5755.0
England,2006-09-30,10584.0,103177.0,,,,,,113761.0
Wales,2006-09-30,477.0,5005.0,,,,,,5482.0
England,2006-12-31,16355.0,103103.0,,,,,,119458.0
Wales,2006-12-31,656.0,5291.0,,,,,,5947.0
England,2007-03-31,10094.0,92945.0,,,,,,103039.0
Wales,2007-03-31,341.0,4554.0,,,,,,4895.0
England,2007-06-30,13570.0,106506.0,,,,,,120076.0
Wales,2007-06-30,416.0,5509.0,,,,,,5925.0
England,2007-09-30,6426.0,89345.0,,,,,,95771.0
Wales,2007-09-30,179.0,4212.0,,,,,,4391.0
England,2007-12-31,9795.0,69516.0,,,,,,79311.0
Wales,2007-12-31,395.0,3679.0,,,,,,4074.0
England,2008-03-31,6565.0,49501.0,,,,,,56066.0
Wales,2008-03-31,303.0,2620.0,,,,,,2923.0
England,2008-06-30,9648.0,47390.0,,,,,,57038.0
Wales,2008-06-30,453.0,2584.0,,,,,,3037.0
England,2008-09-30,5370.0,34852.0,,,,,,40222.0
Wales,2008-09-30,245.0,1787.0,,,,,,2032.0
England,2008-12-31,7451.0,31089.0,,,,,,38540.0
Wales,2008-12-31,419.0,1566.0,,,,,,1985.0
England,2009-03-31,4984.0,29873.0,,,,,,34857.0
Wales,2009-03-31,496.0,1517.0,,,,,,2013.0
England,2009-06-30,7711.0,43347.0,,,,,,51058.0
Wales,2009-06-30,414.0,2134.0,,,,,,2548.0
England,2009-09-30,5236.0,50832.0,,,,,,56068.0
Wales,2009-09-30,293.0,2351.0,,,,,,2644.0
England,2009-12-31,8349.0,67027.0,,,,,,75376.0
Wales,2009-12-31,376.0,3029.0,,,,,,3405.0
England,2010-03-31,5186.0,43980.0,,,,,,49166.0
Wales,2010-03-31,225.0,2154.0,,,,,,2379.0
England,2010-06-30,7278.0,52609.0,,,,,,59887.0
Wales,2010-06-30,371.0,2642.0,,,,,,3013.0
England,2010-09-30,5040.0,50074.0,,,,,,55114.0
Wales,2010-09-30,263.0,2279.0,,,,,,2542.0
England,2010-12-31,6242.0,48141.0,,,,,,54383.0
Wales,2010-12-31,314.0,2401.0,,,,,,2715.0
England,2011-03-31,4707.0,39861.0,,,,,,44568.0
Wales,2011-03-31,236.0,2044.0,,,,,,2280.0
England,2011-06-30,7427.0,47799.0,,,,,,55226.0
Wales,2011-06-30,448.0,2273.0,,,,,,2721.0
England,2011-09-30,5216.0,55644.0,,,,,,60860.0
Wales,2011-09-30,296.0,2579.0,,,,,,2875.0
England,2011-12-31,7641.0,53350.0,,,,,,60991.0
Wales,2011-12-31,396.0,2523.0,,,,,,2919.0
England,2012-03-31,6819.0,52171.0,17163.0,41825.0,58988.0,0.2909574828778735,29.095748287787348,58990.0
Wales,2012-03-31,322.0,2280.0,838.0,1764.0,2602.0,0.3220599538816295,32.20599538816295,2602.0
England,2012-06-30,8434.0,48778.0,17333.0,39879.0,57212.0,0.302960917290079,30.2960917290079,57212.0
Wales,2012-06-30,486.0,2438.0,982.0,1942.0,2924.0,0.33584131326949385,33.58413132694938,2924.0
England,2012-09-30,5112.0,45558.0,16606.0,34063.0,50669.0,0.3277349069450749,32.77349069450749,50670.0
Wales,2012-09-30,243.0,2206.0,912.0,1537.0,2449.0,0.37239689669252757,37.239689669252755,2449.0
England,2012-12-31,7510.0,46544.0,17216.0,36838.0,54054.0,0.3184963184963185,31.849631849631848,54054.0
Wales,2012-12-31,399.0,2290.0,933.0,1756.0,2689.0,0.34696913350687986,34.696913350687986,2689.0
England,2013-03-31,6106.0,45993.0,17323.0,34775.0,52098.0,0.3325079657568429,33.25079657568429,52099.0
Wales,2013-03-31,294.0,2307.0,916.0,1685.0,2601.0,0.35217224144559783,35.217224144559786,2601.0
England,2013-06-30,9826.0,53396.0,20487.0,42732.0,63219.0,0.32406396811085275,32.40639681108527,63222.0
Wales,2013-06-30,476.0,2707.0,1083.0,2100.0,3183.0,0.3402450518378888,34.024505183788875,3183.0
England,2013-09-30,6472.0,60745.0,22762.0,44453.0,67215.0,0.3386446477720747,33.86446477720747,67217.0
Wales,2013-09-30,278.0,2940.0,1202.0,2016.0,3218.0,0.3735239279055314,37.35239279055314,3218.0
England,2013-12-31,10142.0,67691.0,24885.0,52944.0,77829.0,0.31973942874763905,31.973942874763907,77833.0
Wales,2013-12-31,510.0,3377.0,1401.0,2486.0,3887.0,0.3604322099305377,36.04322099305377,3887.0
England,2014-03-31,7020.0,59574.0,22165.0,44429.0,66594.0,0.3328377931945821,33.28377931945821,66594.0
Wales,2014-03-31,277.0,2937.0,1226.0,1988.0,3214.0,0.3814561294337274,38.14561294337274,3214.0
England,2014-06-30,11552.0,68076.0,25527.0,54099.0,79626.0,0.32058624067515634,32.05862406751564,79628.0
Wales,2014-06-30,474.0,3375.0,1401.0,2448.0,3849.0,0.36399064692127825,36.39906469212782,3849.0
England,2014-09-30,6986.0,70561.0,25757.0,51784.0,77541.0,0.3321726570459499,33.217265704594986,77547.0
Wales,2014-09-30,325.0,3329.0,1371.0,2283.0,3654.0,0.37520525451559933,37.520525451559934,3654.0
England,2014-12-31,10311.0,66430.0,25384.0,51346.0,76730.0,0.33082236413397625,33.082236413397624,76741.0
Wales,2014-12-31,503.0,3333.0,1377.0,2459.0,3836.0,0.3589676746611053,35.89676746611053,3836.0
England,2015-03-31,7829.0,57452.0,22251.0,43020.0,65271.0,0.34090177873787747,34.090177873787745,65281.0
Wales,2015-03-31,346.0,2928.0,1255.0,2019.0,3274.0,0.3833231521075137,38.332315210751375,3274.0
England,2015-06-30,13153.0,68704.0,25994.0,55821.0,81815.0,0.3177168000977816,31.77168000977816,81857.0
Wales,2015-06-30,671.0,3381.0,1400.0,2650.0,4050.0,0.345679012345679,34.5679012345679,4052.0
